index	score	sentence1	sentence2
0	5	ایک طیارہ اڑان بھر رہا ہے ۔	ایک ہوائی جہاز اڑان بھر رہا ہے ۔
1	3.8	ایک آدمی بڑی بانسری بجا رہا ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
2	3.8	ایک آدمی پیزا پر کٹا ہوا پنیر پھیلا رہا ہے ۔	ایک آدمی بغیر پکے ہوئے پیزا پر کٹا ہوا پنیر پھیلا رہا ہے ۔
3	2.6	تین آدمی شطرنج کھیل رہے ہیں ۔	دو آدمی شطرنج کھیل رہے ہیں ۔
4	4.25	ایک آدمی سیلو کھیل رہا ہے ۔	بیٹھا ہوا آدمی سیلو کھیل رہا ہے ۔
5	4.25	کچھ آدمی لڑ رہے ہیں ۔	دو آدمی لڑ رہے ہیں ۔
6	0.5	ایک آدمی سگریٹ پی رہا ہے ۔	ایک آدمی سکیٹنگ کر رہا ہے ۔
7	1.6	آدمی پیانو بجا رہا ہے ۔	آدمی گٹار بجا رہا ہے ۔
8	2.2	ایک آدمی گٹار بجا رہا ہے اور گا رہا ہے ۔	ایک عورت صوتی گٹار بجا رہی ہے اور گا رہی ہے ۔
9	5	ایک شخص ایک بلی کو چھت پر پھینک رہا ہے ۔	ایک شخص ایک بلی کو چھت پر پھینک دیتا ہے ۔
10	4.2	آدمی نے دوسرے آدمی کو چھڑی سے مارا ۔	اس شخص نے دوسرے آدمی کو چھڑی سے مارا ۔
11	4.6	ایک عورت اٹھاتی ہے اور بچے کے کینگرو کو پکڑتی ہے ۔	ایک عورت اٹھاتی ہے اور اپنے بازوؤں میں کینگرو کے بچے کو پکڑتی ہے ۔
12	3.867	ایک آدمی بانسری بجا رہا ہے ۔	ایک آدمی بانس کی بانسری بجا رہا ہے ۔
13	4.667	ایک شخص کاغذ کا ایک ٹکڑا تہہ کر رہا ہے ۔	کوئی کاغذ کا ٹکڑا جوڑ رہا ہے ۔
14	1.667	ایک آدمی سڑک پر دوڑ رہا ہے ۔	ایک پانڈا کتا سڑک پر دوڑ رہا ہے ۔
15	3.75	ایک کتا اپنی پیٹھ سے بیکن اتارنے کی کوشش کر رہا ہے ۔	ایک کتا اپنی پیٹھ پر لگے بیکن کو کھانے کی کوشش کر رہا ہے ۔
16	5	قطبی ریچھ برف پر پھسل رہا ہے ۔	ایک قطبی ریچھ برف کے پار پھسل رہا ہے ۔
17	0.5	ایک عورت لکھ رہی ہے ۔	ایک عورت تیر رہی ہے ۔
18	3.8	ایک بلی بچے کے چہرے پر رگڑ رہی ہے ۔	ایک بلی بچے کے خلاف رگڑ رہی ہے ۔
19	5	آدمی گھوڑے پر سوار ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
20	3.2	ایک آدمی برتن میں تیل ڈالتا ہے ۔	ایک آدمی برتن میں شراب ڈالتا ہے ۔
21	2.8	ایک آدمی گٹار بجا رہا ہے ۔	ایک لڑکی گٹار بجا رہی ہے ۔
22	4.6	ایک پانڈا ایک سلائیڈ سے نیچے پھسل رہا ہے ۔	ایک پانڈا ایک سلائیڈ سے نیچے پھسلتا ہے ۔
23	3	ایک عورت کچھ کھا رہی ہے ۔	ایک عورت گوشت کھا رہی ہے ۔
24	5	ایک عورت آلو چھیلتی ہے ۔	ایک عورت آلو چھیل رہی ہے ۔
25	4.8	لڑکا اپنی موٹر سائیکل سے گر گیا ۔	ایک لڑکا اپنی موٹر سائیکل سے گر جاتا ہے ۔
26	5	عورت بانسری بجا رہی ہے ۔	ایک عورت بانسری بجا رہی ہے ۔
27	4.2	خرگوش عقاب سے دوڑ رہا ہے ۔	ایک خرگوش عقاب سے دوڑ رہا ہے ۔
28	4.2	عورت روٹی والے سور کے گوشت کے ٹکڑے کو تلی رہی ہے ۔	ایک عورت روٹی والا سور کا گوشت پکا رہی ہے ۔
29	4	ایک لڑکی پتنگ اڑا رہی ہے ۔	ایک لڑکی دوڑتی ہوئی پتنگ اڑا رہی ہے ۔
30	4	ایک آدمی مکینیکل بیل پر سوار ہے ۔	ایک آدمی مکینیکل بیل کی سواری کر رہا تھا ۔
31	4.909	آدمی گٹار بجا رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
32	3	ایک عورت دوسری عورتوں کے ساتھ ناچ رہی ہے اور گا رہی ہے ۔	ایک عورت بارش میں ناچ رہی ہے اور گا رہی ہے ۔
33	2.4	ایک آدمی ایک بن کاٹ رہا ہے ۔	ایک آدمی پیاز کاٹ رہا ہے ۔
34	4.2	ایک آدمی پین میں تیل ڈال رہا ہے ۔	ایک آدمی پین میں تیل ڈال رہا ہے ۔
35	3.4	شیر لوگوں کے ساتھ کھیل رہا ہے ۔	شیر دو آدمیوں کے ساتھ کھیل رہا ہے ۔
36	5	ایک کتا اسکیٹ بورڈ پر سوار ہوتا ہے ۔	ایک کتا اسکیٹ بورڈ پر سوار ہے ۔
37	3.75	کوئی مجسمہ تراش رہا ہے ۔	ایک آدمی مجسمہ تراش رہا ہے ۔
38	2.75	ایک عورت پیاز کاٹ رہی ہے ۔	ایک آدمی پیاز کاٹ رہا ہے ۔
39	5	ایک عورت کیکڑے کو چھیلتی ہے ۔	ایک عورت کیکڑے کو چھیل رہی ہے ۔
40	4	ایک عورت مچھلی تلی رہی ہے ۔	ایک عورت مچھلی پکا رہی ہے ۔
41	3.6	ایک عورت الیکٹرک گٹار بجا رہی ہے ۔	ایک عورت گٹار بجا رہی ہے ۔
42	1.6	شیر کا بچہ گیند سے کھیل رہا ہے ۔	ایک بچہ گڑیا کے ساتھ کھیل رہا ہے ۔
43	1.75	ایک شخص ٹماٹر کاٹ رہا ہے ۔	ایک شخص کچھ گوشت کاٹ رہا ہے ۔
44	5	ایک شخص پیاز کاٹتا ہے ۔	ایک شخص پیاز کاٹ رہا ہے ۔
45	1	ایک آدمی پیانو بجا رہا ہے ۔	ایک عورت وائلن بجا رہی ہے ۔
46	1	ایک عورت بانسری بجا رہی ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
47	2.375	ایک آدمی آلو کاٹ رہا ہے ۔	ایک آدمی گاجر کاٹ رہا ہے ۔
48	3.8	ایک بچہ گٹار بجا رہا ہے ۔	ایک لڑکا گٹار بجا رہا ہے ۔
49	3.2	ایک لڑکا گٹار بجا رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
50	3.2	ایک آدمی گٹار بجا رہا ہے ۔	ایک لڑکا گٹار بجا رہا ہے ۔
